"Group","cl_mappings","WMB_AT","refs","no_cl_mapping"
"SN GATA3-PAX8 GABA","-
  labelset: Group
  cell_set: SN GATA3-PAX8 GABA
  name: null
  id: null
-
  labelset: Subclass
  cell_set: F M GATA3 GABA
  name: null
  id: null
-
  labelset: Class
  cell_set: F M GABA
  name: null
  id: null
-
  labelset: Neighborhood
  cell_set: Subpallium GABA
  name: null
  id: null","-
  labelset: null
  cell_set: null","- https://doi.org/10.3389/fnins.2022.976209","True"
"GPi Core","-
  labelset: Group
  cell_set: GPi Core
  name: null
  id: null
-
  labelset: Subclass
  cell_set: CN ONECUT1 GABA
  name: null
  id: null
-
  labelset: Class
  cell_set: F M GABA
  name: null
  id: null
-
  labelset: Neighborhood
  cell_set: Subpallium GABA
  name: null
  id: null","-
  labelset: supertype
  cell_set: 0461 ZI Pax6 Gaba_3","- https://doi.org/10.1016/j.neuron.2017.03.017","True"
"STR SST-CHODL GABA","-
  labelset: Group
  cell_set: STR SST-CHODL GABA
  name: null
  id: null
-
  labelset: Subclass
  cell_set: STR SST-CHODL GABA
  name: null
  id: null
-
  labelset: Class
  cell_set: CN MGE GABA
  name: null
  id: null
-
  labelset: Neighborhood
  cell_set: Subpallium GABA
  name: null
  id: null","-
  labelset: null
  cell_set: null","- https://doi.org/10.1038/s41586-020-2874-8","True"
"OB FRMD7 GABA","-
  labelset: Group
  cell_set: OB FRMD7 GABA
  name: null
  id: null
-
  labelset: Subclass
  cell_set: ACx MEIS2 GABA
  name: null
  id: null
-
  labelset: Class
  cell_set: Cx GABA
  name: null
  id: null
-
  labelset: Neighborhood
  cell_set: Subpallium GABA
  name: null
  id: null","-
  labelset: null
  cell_set: null","","True"
"VTR-HTH Glut","-
  labelset: Group
  cell_set: VTR-HTH Glut
  name: null
  id: null
-
  labelset: Subclass
  cell_set: F M Glut
  name: null
  id: null
-
  labelset: Class
  cell_set: F M Glut
  name: null
  id: null
-
  labelset: Neighborhood
  cell_set: Glut Sero Dopa
  name: null
  id: null","-
  labelset: null
  cell_set: null","","True"
"GPe-NDB-SI LHX6-LHX8-GBX1 GABA","-
  labelset: Group
  cell_set: GPe-NDB-SI LHX6-LHX8-GBX1 GABA
  name: null
  id: null
-
  labelset: Subclass
  cell_set: CN LHX8 GABA
  name: null
  id: null
-
  labelset: Class
  cell_set: F M GABA
  name: null
  id: null
-
  labelset: Neighborhood
  cell_set: Subpallium GABA
  name: null
  id: null","-
  labelset: null
  cell_set: null","","True"
"SN GATA3-PVALB GABA","-
  labelset: Group
  cell_set: SN GATA3-PVALB GABA
  name: null
  id: null
-
  labelset: Subclass
  cell_set: F M GATA3 GABA
  name: null
  id: null
-
  labelset: Class
  cell_set: F M GABA
  name: null
  id: null
-
  labelset: Neighborhood
  cell_set: Subpallium GABA
  name: null
  id: null","-
  labelset: supertype
  cell_set: 0806 SNr Six3 Gaba_1","- https://doi.org/10.3389/fnins.2022.976209","True"
"GPi Shell","-
  labelset: Group
  cell_set: GPi Shell
  name: null
  id: null
-
  labelset: Subclass
  cell_set: CN GABA-Glut
  name: null
  id: null
-
  labelset: Class
  cell_set: CN GABA-Glut
  name: null
  id: null
-
  labelset: Neighborhood
  cell_set: Subpallium GABA-Glut
  name: null
  id: null","-
  labelset: supertype
  cell_set: 0504 GPi Tbr1 Cngb3 Gaba-Glut_1","- https://doi.org/10.1016/j.neuron.2017.03.017","True"
"LAMP5-CXCL14 GABA","-
  labelset: Group
  cell_set: LAMP5-CXCL14 GABA
  name: null
  id: null
-
  labelset: Subclass
  cell_set: CN LAMP5-CXCL14 GABA
  name: null
  id: null
-
  labelset: Class
  cell_set: CN CGE GABA
  name: null
  id: null
-
  labelset: Neighborhood
  cell_set: Subpallium GABA
  name: null
  id: null","-
  labelset: null
  cell_set: null","","True"
"GPe MEIS2-SOX6 GABA","-
  labelset: Group
  cell_set: GPe MEIS2-SOX6 GABA
  name: null
  id: null
-
  labelset: Subclass
  cell_set: CN MEIS2 GABA
  name: null
  id: null
-
  labelset: Class
  cell_set: CN LGE GABA
  name: null
  id: null
-
  labelset: Neighborhood
  cell_set: Subpallium GABA
  name: null
  id: null","-
  labelset: supertype
  cell_set: 0257 GPe-SI Sox6 Cyp26b1 Gaba_1","","True"
